name,name_norm,source,program,list_id,entity_type,country,date_added,risk_level
Vladimir Petrov,VLADIMIR PETROV,OFAC,SANCTIONS,SDN-001,INDIVIDUAL,RU,2022-02-24,CRITICAL
Dmitri Kozlov,DMITRI KOZLOV,OFAC,SANCTIONS,SDN-007,INDIVIDUAL,RU,2022-03-15,CRITICAL
Anna Volkov,ANNA VOLKOV,OFAC,SANCTIONS,SDN-015,INDIVIDUAL,RU,2022-04-08,CRITICAL
Hassan Bin Rashid,HASSAN BIN RASHID,OFAC,SANCTIONS,SDN-010,INDIVIDUAL,IR,2020-01-15,CRITICAL
Ali Hassan Makhlouf,ALI HASSAN MAKHLOUF,OFAC,SANCTIONS,SDN-025,INDIVIDUAL,SY,2019-06-20,CRITICAL
Roberto Martinez,ROBERTO MARTINEZ,DEA,NARCOTICS,DRUG-011,INDIVIDUAL,CO,2021-09-10,HIGH
Carlos Escobar Jr,CARLOS ESCOBAR JR,DEA,NARCOTICS,DRUG-020,INDIVIDUAL,CO,2020-12-05,HIGH
Li Ming,LI MING,TREASURY,PEP,PEP-013,INDIVIDUAL,CN,2023-01-20,HIGH
Wang Xiaoli,WANG XIAOLI,TREASURY,PEP,PEP-030,INDIVIDUAL,CN,2023-02-15,HIGH
Chen Wei,CHEN WEI,COMMERCE,ENTITY_LIST,ENT-006,INDIVIDUAL,CN,2022-08-10,MEDIUM
Global Ventures Ltd,GLOBAL VENTURES LTD,FINCEN,SHELL_COMPANY,SHELL-009,CORPORATE,KY,2021-11-30,HIGH
Offshore Holdings Inc,OFFSHORE HOLDINGS INC,FINCEN,SHELL_COMPANY,SHELL-012,CORPORATE,BVI,2023-05-15,HIGH
Energy Trading Corp,ENERGY TRADING CORP,OFAC,SANCTIONS,SDN-040,CORPORATE,RU,2022-07-20,CRITICAL
Tehran Oil Export,TEHRAN OIL EXPORT,OFAC,SANCTIONS,SDN-050,CORPORATE,IR,2020-11-10,CRITICAL
Crypto Exchanges LLC,CRYPTO EXCHANGES LLC,FINCEN,MSB_VIOLATIONS,MSB-014,CORPORATE,US,2023-08-01,HIGH
Digital Assets Inc,DIGITAL ASSETS INC,SEC,SECURITIES_FRAUD,SEC-025,CORPORATE,US,2023-09-15,MEDIUM
Moscow Energy Holdings,MOSCOW ENERGY HOLDINGS,OFAC,SANCTIONS,SDN-060,CORPORATE,RU,2022-10-05,CRITICAL
Beijing Manufacturing,BEIJING MANUFACTURING,COMMERCE,ENTITY_LIST,ENT-035,CORPORATE,CN,2023-03-10,MEDIUM
Syrian Business Group,SYRIAN BUSINESS GROUP,OFAC,SANCTIONS,SDN-070,CORPORATE,SY,2019-12-20,CRITICAL
Cartel Financial Network,CARTEL FINANCIAL NETWORK,DEA,NARCOTICS,DRUG-040,CORPORATE,MX,2021-05-25,HIGH
North Korea Trading,NORTH KOREA TRADING,OFAC,SANCTIONS,SDN-080,CORPORATE,KP,2018-08-15,CRITICAL
Iranian Petroleum Co,IRANIAN PETROLEUM CO,OFAC,SANCTIONS,SDN-090,CORPORATE,IR,2020-05-30,CRITICAL
Viktor Petrov,VIKTOR PETROV,OFAC,SANCTIONS,SDN-002,INDIVIDUAL,RU,2022-02-24,CRITICAL
Alexei Kozlov,ALEXEI KOZLOV,OFAC,SANCTIONS,SDN-008,INDIVIDUAL,RU,2022-03-20,CRITICAL
Mikhail Volkov,MIKHAIL VOLKOV,OFAC,SANCTIONS,SDN-016,INDIVIDUAL,RU,2022-04-12,CRITICAL
